"artistName","msPlayed","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"other",3158192,"Pop",0.555,0.452,0,-9.636,1,0.0554,0.694,0,0.0595,0.321,179.921,256933,4
"other",2559478,"Other",0.466,0.789,0,-5.956,1,0.0663,0.0146,0,0.0637,0.36,175.772,262505,4
"childish gambino",167230,"Hip Hop",0.664,0.447,6,-7.272,0,0.289,0.112,0,0.091,0.659,83.138,234215,4
"bazzi",167018,"Pop",0.651,0.654,1,-5.481,1,0.0466,0.385,0,0.181,0.539,141.975,167019,4
"other",18702,"Alternative",0.418,0.392,9,-13.771,1,0.0383,0.663,0.335,0.204,0.295,168.902,110862,4
"blackbear",356134,"Pop",0.776,0.513,5,-6.757,1,0.0872,0.392,0,0.0642,0.813,153.934,158571,4
"other",7408,"Filmi",0.687,0.855,4,-2.837,0,0.109,0.13,0,0.311,0.659,167.947,178421,4
"christine and the queens",208293,"Alternative",0.726,0.654,2,-6.201,1,0.0423,0.424,0,0.0668,0.624,129.013,208293,4
"other",69198,"Other",0.521,0.837,7,-4.501,1,0.0794,0.0593,1.28e-05,0.157,0.48,106.001,4581483,4
"other",7876,"Japanese Pop",0.285,0.803,1,-6.128,1,0.158,0.714,1.07e-05,0.0495,0.182,95.806,316800,4
"other",531864,"Sleep",0.751,0.193,3,-15.902,1,0.0449,0.936,0.94,0.11,0.219,113.987,177288,4
"other",228840,"Other",0.587,0.687,1,-8.635,0,0.0509,0.0281,0.14,0.121,0.402,169.938,228840,4
"other",2208366,"Alternative",0.614,0.511,11,-8.758,0,0.0294,0.673,0.00176,0.339,0.486,148.024,204760,3
"fly by midnight",189783,"Pop",0.637,0.885,5,-4.522,1,0.0274,0.0318,0,0.107,0.613,127.027,190912,4
"other",3049703,"Australian Pop",0.613,0.739,10,-6.478,1,0.0311,0.526,0,0.149,0.712,104.966,211453,4
"other",4485906,"Other",0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,237300,4
"other",209488,"Rap",0.676,0.623,6,-7.297,0,0.0352,0.226,1.66e-05,0.159,0.347,111.466,209489,4
"boy in space",4569846,"Alternative",0.618,0.47,0,-7.379,1,0.0271,0.0169,0,0.111,0.228,135.034,203555,4
"why don't we",1549337,"Boy Band",0.607,0.478,1,-5.702,0,0.031,0.649,0,0.0928,0.255,88.979,190027,4
"other",463954,"Alternative",0.574,0.651,7,-7.585,1,0.046,0.346,0,0.149,0.368,140.017,174107,4
"other",60424,"Other",0.659,0.834,8,-5.715,1,0.0387,0.232,0.55,0.236,0.607,116.048,219258,4
"blackbear",223286,"Pop",0.707,0.707,11,-6.161,0,0.0375,0.0306,0,0.127,0.231,104.039,223296,4
"other",3234388,"Alternative",0.765,0.53,10,-7.18,0,0.0833,0.509,4.15e-06,0.117,0.529,130.104,188387,4
"other",1700511,"Alternative",0.661,0.552,8,-8.015,0,0.0278,0.242,0,0.0953,0.408,110.072,188182,4
"blackbear",5728917,"Pop",0.615,0.774,4,-5.152,0,0.0551,0.0173,0,0.15,0.336,136.887,191364,4
"other",119999,"Ambient",0.496,0.255,9,-17.984,1,0.0283,0.937,0.845,0.0909,0.0809,141.961,120000,4
"aurora",1945555,"Alternative",0.541,0.556,11,-6.15,0,0.0356,0.465,0,0.116,0.106,105.886,215573,4
